Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours,petroleum liquids thousand megawatthours,petroleum coke thousand megawatthours,other gases thousand megawatthours,all utility-scale solar thousand megawatthours,geothermal thousand megawatthours,biomass thousand megawatthours,wood and wood-derived fuels thousand megawatthours,other biomass thousand megawatthours,hydro-electric pumped storage thousand megawatthours,other thousand megawatthours,small-scale solar photovoltaic thousand megawatthours
Oct 2014,314518.00875,111295.95754,97684.69687,62390.988,17159.21225,14507.93111,2681.80098,908.45906,609.27168,1082.25805,1716.92302,1345.09102,5148.50536,3422.22924,1726.27612,-447.609,1116.32379,964.87796
Sep 2014,339882.6659,126110.38461,106583.6804,67534.5,16074.32674,11519.76842,2878.62126,929.40248,1019.06374,1126.36882,1832.26056,1307.51933,5233.80905,3462.22556,1771.58349,-541.876,1153.45775,1046.3607
Aug 2014,384336.56063,148451.62333,122350.00526,71128.746,19807.24668,10170.52076,3018.61669,1013.8688,1036.44057,1135.13447,1879.48203,1329.20881,5641.59721,3761.24103,1880.35618,-840.357,1233.04371,1139.13466
Jul 2014,385775.44987,149627.05758,115083.44611,71940.126,24357.40238,12187.39242,2936.22665,992.39618,1049.74706,1068.64164,1787.69886,1319.57192,5749.52146,3807.42376,1942.0977,-544.656,1157.10426,1148.52779
Jun 2014,357840.17847,137576.92149,98469.55616,68138.232,25743.87767,15798.81712,3023.8867,889.16106,1131.43279,968.67537,1923.32588,1293.37505,5448.61124,3622.27121,1826.34003,-653.046,1111.23864,1100.56082
May 2014,324719.30714,118785.80061,89120.78275,62947.43,26543.88511,15601.36684,2841.66641,959.86942,1084.08955,944.39748,1749.65461,1332.36081,5138.92347,3289.75941,1849.16406,-600.752,1111.49849,1092.0118
Apr 2014,297628.2622,109280.59165,76784.84902,56384.588,25439.90661,18635.54917,2475.52102,911.13938,842.05719,854.18754,1487.09725,1313.53464,5039.62463,3230.04629,1809.57834,-378.109,1033.24613,988.42377
Mar 2014,331820.9692,136442.60132,78154.34115,62397.08,24257.12925,17735.8829,2224.12366,2001.90874,1185.97837,865.60006,1317.09371,1337.66565,5460.03626,3609.0941,1850.94216,-421.403,1087.05479,907.02995
Feb 2014,324347.01617,143294.48747,75945.20996,62638.95,17396.12893,14008.66045,1498.82093,1847.01409,915.79102,817.23564,834.9922,1206.12975,4951.0412,3264.60283,1686.43837,-445.152,936.52747,663.82873
Jan 2014,377251.37842,157097.36861,91062.48197,73162.609,21633.79467,17911.21433,1375.15155,5913.28271,1158.27321,932.86268,751.11873,1355.01553,5475.87154,3626.34817,1849.52337,-289.685,1087.17043,624.03282
